AÑO,CONCURSO,ÁREA,CARRERA,PLANTEL,OFERTA,ASPIRANTES,PRESENTARON EXAMEN,ACIERTOS MÍNIMOS,SELECCIONADOS
2018,Febrero,2,(220)  ENFERMERIA,ESCUELA NACIONAL DE ENFERMERIA Y OBSTETRICIA,82,1210,1148,73,94
2018,Febrero,2,(220)  ENFERMERIA,FES IZTACALA,98,1690,1602,70,108
2018,Febrero,2,(220)  ENFERMERIA,FES ZARAGOZA,100,2560,2441,75,101
2018,Febrero,2,(220)  ENFERMERIA,TLAXCALA,34,75,69,46,35
2018,Febrero,2,(221)  FISIOTERAPIA,ESCUELA NACIONAL DE ESTUDIOS SUP. UNIDAD LEON,52,508,464,78,52
2018,Febrero,2,(222)  ODONTOLOGIA,ESCUELA NACIONAL DE ESTUDIOS SUP. UNIDAD LEON,60,517,474,74,64
2018,Febrero,3,(301)  ADMINISTRACION,FACULTAD DE CONTADURIA Y ADMINISTRACION,290,5912,5491,90,308
2018,Febrero,3,(301)  ADMINISTRACION,FES CUAUTITLAN,155,1648,1569,74,171
2018,Febrero,3,(302)  CIENCIAS DE LA COMUNICACION,FACULTAD DE CIENCIAS POLITICAS Y SOCIALES,62,1965,1824,99,67
2018,Febrero,3,(303)  CIENCIAS POLITICAS Y ADMON PUBLICA,FES ACATLAN,40,537,492,84,41
2018,Febrero,3,(303)  CIENCIAS POLITICAS Y ADMON PUBLICA,FACULTAD DE CIENCIAS POLITICAS Y SOCIALES,40,820,749,97,42
2018,Febrero,3,(304)  CONTADURIA,FES CUAUTITLAN,180,1219,1160,72,186
2018,Febrero,3,(304)  CONTADURIA,FACULTAD DE CONTADURIA Y ADMINISTRACION,400,4486,4222,85,423
2018,Febrero,3,(305)  DERECHO,FACULTAD DE DERECHO,230,4579,4237,96,250
2018,Febrero,3,(305)  DERECHO,FES ACATLAN,125,1975,1878,81,138
2018,Febrero,3,(305)  DERECHO,FES ARAGON,168,3141,2990,82,176
2018,Febrero,3,(306)  ECONOMIA,FACULTAD DE ECONOMIA,310,1710,1597,86,310
2018,Febrero,3,(306)  ECONOMIA,FES ACATLAN,90,609,562,77,90
2018,Febrero,3,(306)  ECONOMIA,FES ARAGON,88,752,728,80,91
2018,Febrero,3,(307)  GEOGRAFIA,FACULTAD DE FILOSOFIA Y LETRAS,25,178,172,86,29
2018,Febrero,3,(308)  INFORMATICA,FES CUAUTITLAN,70,427,408,65,74
2018,Febrero,3,(309)  PLANIF PARA EL DESARROLLO AGROPECUARIO,FES ARAGON,61,167,156,58,66
2018,Febrero,3,(310)  RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLITICAS Y SOCIALES,40,1657,1540,102,43
2018,Febrero,3,(310)  RELACIONES INTERNACIONALES,FES ACATLAN,35,1008,947,91,37
2018,Febrero,3,(310)  RELACIONES INTERNACIONALES,FES ARAGON,40,1447,1393,94,42
2018,Febrero,3,(311)  SOCIOLOGIA,FES ARAGON,17,289,273,80,17
2018,Febrero,3,(311)  SOCIOLOGIA,FACULTAD DE CIENCIAS POLITICAS Y SOCIALES,42,402,369,87,43
2018,Febrero,3,(311)  SOCIOLOGIA,FES ACATLAN,22,249,234,74,22
2018,Febrero,3,(312)  TRABAJO SOCIAL,ESCUELA NACIONAL DE TRABAJO SOCIAL,192,1541,1474,67,200
2018,Febrero,3,(313)  ECONOMIA INDUSTRIAL,ESCUELA NACIONAL DE ESTUDIOS SUP. UNIDAD LEON,27,153,141,85,28
2018,Febrero,3,(314)  ADMINISTRACION AGROPECUARIA,ESCUELA NACIONAL DE ESTUDIOS SUP. UNIDAD LEON,22,22,21,42,18
2018,Febrero,3,(315)  COMUNICACION,FES ACATLAN,52,894,837,90,52
2018,Febrero,3,(316)  COMUNICACION Y PERIODISMO,FES ARAGON,86,1448,1374,83,89
2018,Febrero,3,(317)  ESTUDIOS SOCIALES Y GESTION LOCAL,ESCUELA NACIONAL DE ESTUDIOS SUP. UNIDAD MORELIA,25,37,36,51,25
2018,Febrero,3,(318) DESARROLLO COMUNITARIO PARA EL ENVEJECIMIENTO,TLAXCALA,30,42,36,41,28
2018,Febrero,3,(319)  ANTROPOLOGIA,FACULTAD DE CIENCIAS POLITICAS Y SOCIALES,68,443,412,88,71
2018,Febrero,3,(320)  DESARROLLO TERRITORIAL,ESCUELA NACIONAL DE ESTUDIOS SUP. UNIDAD LEON,22,36,34,58,22
2018,Febrero,4,(401)  ARTES VISUALES,FACULTAD DE ARTES Y DISEÑO,20,1324,1223,103,21
2018,Febrero,4,(402)  BIBLIOTECOLOGIA Y ESTUDIOS DE LA INFORMACION,FACULTAD DE FILOSOFIA Y LETRAS,30,147,140,70,32
2018,Febrero,4,(403)  CANTO,FACULTAD DE MUSICA,15,75,67,64,15
2018,Febrero,4,(404)  COMPOSICION,FACULTAD DE MUSICA,15,83,66,73,15
